1,8,8,8,8,88
2,9,9,9,9,9
3,8,8,8,8,8
4,1,1,1,1,1
5,8,8,8,8,88
6,9,9,9,9,9
7,8,8,8,8,8
8,1,1,1,1,1
9,8,8,8,8,88
10,9,9,9,9,9
1,8,8,8,8,88
2,9,9,9,9,9
3,8,8,8,8,8
4,1,1,1,1,1
5,8,8,8,8,88
6,9,9,9,9,9
7,8,8,8,8,8
8,1,1,1,1,1
9,8,8,8,8,88
10,9,9,9,9,9
1,8,8,8,8,88
2,9,9,9,9,9
3,8,8,8,8,8
4,1,1,1,1,1
5,8,8,8,8,88
6,9,9,9,9,9
7,8,8,8,8,8
8,1,1,1,1,1
9,8,8,8,8,88
10,9,9,9,9,9
1,8,8,8,8,88
2,9,9,9,9,9
3,8,8,8,8,8
4,1,1,1,1,1
5,8,8,8,8,88
6,9,9,9,9,9
7,8,8,8,8,8
8,1,1,1,1,1
9,8,8,8,8,88
10,9,9,9,9,9
Nojus, Skibidis, sss@gmail.com, 1234341234, 21 ring st
